residue,drugbank_id,associated_mbss
ABH,DB01983,"[2691, 2692, 2693, 2694, 2695, 2696, 2718, 2719, 2720, 2721, 2722, 2723, 77588, 77589, 77590, 77591, 77592, 77593, 77601, 77602, 77603, 77604, 77605, 77606, 80313, 80314, 80315, 80316, 80317, 80318, 80450, 80451, 80452, 80453, 80454, 80455, 81442, 81443, 81444, 81445, 81446, 81447, 81459, 81460, 81522, 81523, 81524, 81525, 81526, 81527, 82514, 82515, 82525, 82526, 82539, 82540, 82541, 82542, 82543, 82544, 82564, 82565, 82566, 82567, 82568, 82569, 83316, 83317, 83318, 83319, 83320, 83321, 83425, 83426, 83427, 83428, 83429, 83430, 83431, 83432, 83433, 83434, 83435, 83436, 85358, 85359, 85360, 85361, 85362, 85363, 85364, 85365, 85366, 85404, 85405, 85406, 85407, 85408, 85409, 85410, 85411, 85412, 85545, 85546, 85547, 85548, 85549, 85550, 86759, 86760, 86761, 86762, 86763, 86764, 86799, 86800, 86801, 86802, 86803, 86804, 86908, 86909, 86910, 86911, 86912, 86913, 86941, 86942, 86943, 86944, 86945, 86946, 91068, 91069, 91070, 91071, 91072, 91073, 91076, 91077, 91078, 91079, 91080, 91081, 91105, 91106, 91107, 91108, 91109, 91110, 91111, 91112, 91113, 91114, 91115, 91116, 92282, 92283, 98303, 98304, 98305, 98306, 98307, 98308, 98319, 98320, 98321, 98322, 98323, 98324, 130608, 130609, 130610, 130613, 130614, 130615, 130618, 130619, 130620, 130644, 130645, 130646, 130648, 130649, 130650, 130652, 130653, 130654]"
ABI,DB01939,[102544]
ABN,DB02464,"[67184, 76628, 76629, 76630, 76631, 76632, 76633]"
ABU,DB02530,[26634]
AC1,DB02218,"[91744, 91768, 91770, 105883]"
ACA,DB00513,"[85228, 85229]"
ACD,DB04557,"[44986, 45084, 45615, 46752, 53343, 53344, 53345, 53346, 53347, 53348]"
ACM,DB02736,"[8848, 8850, 8852, 18615, 18618, 18620, 76348]"
ACP,DB03909,"[2120, 54061, 54069, 54081, 77584, 77585, 78292, 78293, 82660, 84643, 107513, 107514, 128754, 128755, 135573, 135574]"
ACS,DB03004,[44043]
